N;eps;consensus_x;consensus_y;consensus_probabity;simulation_time;simulation_count
50;0.15;0.0;0.0;0.0;0;600
50;0.2;0.0;0.0;0.0;0;600
50;0.25;1.5607846208051694;1.5493728894385959;3.0;29;600
50;0.3;76.41266366757154;76.67624953734273;153.0;1405;600
50;0.35;230.61980231869467;232.33686933732565;463.0;3168;600
50;0.4;296.0085074065719;295.6108196984819;592.0;3126;600
50;0.45;298.94624940355305;300.79530864716395;600.0;2620;600
50;0.5;299.7334846447664;300.34538216982173;600.0;2407;600
50;0.55;298.5390949058525;298.92751575473744;600.0;2391;600
50;0.6;299.6360960430791;298.6014462133662;600.0;2159;600
50;0.65;300.13067534079266;298.3142822501454;600.0;1848;600
50;0.7;301.4542614050737;301.82442591488916;600.0;1800;600
50;0.75;299.30266463457;297.9687893645065;600.0;1800;600
50;0.8;299.8107745426423;299.63935944234595;600.0;1800;600
50;0.85;299.3501060748657;301.64420274573956;600.0;1800;600
50;0.9;298.70631091239767;301.25939744527693;600.0;1800;600
50;0.95;301.1874326814717;299.41576135939056;600.0;1800;600
50;1.0;298.60065314751733;300.9066096587071;600.0;1800;600
