N;confidence;eps1;eps2;consensus_x;consensus_y;consensus_probabity;simulation_time;cluster_data;simulation_count
50.0;ellipse;0.2;0.5;31.03209757450248;31.085929421916234;62.0;758.0;;1500.0
50.0;ellipse;0.2;0.55;32.43295498693551;32.3774259543867;65.0;749.0;;1500.0
50.0;ellipse;0.25;0.25;7.437270394687813;7.31742789389023;15.0;195.0;;1500.0
50.0;ellipse;0.25;0.3;33.60909220056548;33.909148923590465;67.0;733.0;;1500.0
50.0;ellipse;0.25;0.35;101.7302456076356;101.96442941037907;204.0;2103.0;;1500.0
50.0;ellipse;0.25;0.4;193.4483795940337;193.12894107401283;386.0;3698.0;;1500.0
50.0;ellipse;0.25;0.45;235.31675545909022;236.27602347672865;472.0;4395.0;;1500.0
50.0;ellipse;0.25;0.5;249.5686351451256;248.2785645930236;498.0;4486.0;;1500.0
50.0;ellipse;0.25;0.55;280.9664131340106;283.07370308562287;567.0;5168.0;;1500.0
50.0;ellipse;0.3;0.3;205.3326739558249;207.2078854990204;411.0;3829.0;;1500.0
50.0;ellipse;0.3;0.35;378.2099330545013;376.38406407094305;758.0;6354.0;;1500.0
50.0;ellipse;0.3;0.4;508.1122357864584;509.23649737384005;1016.0;7875.0;;1500.0
50.0;ellipse;0.3;0.45;574.2688072795064;574.0922715865825;1148.0;8266.0;;1500.0
50.0;ellipse;0.3;0.5;592.4153822368826;592.3793939794336;1187.0;8515.0;;1500.0
50.0;ellipse;0.3;0.55;612.7655141921772;611.068471847766;1226.0;8628.0;;1500.0
50.0;ellipse;0.35;0.35;596.5271256200496;598.0625959434718;1200.0;8165.0;;1500.0
50.0;ellipse;0.35;0.4;703.1117565979089;701.3448761360718;1404.0;8454.0;;1500.0
50.0;ellipse;0.35;0.45;718.8627247602197;718.6997759692559;1438.0;8159.0;;1500.0
50.0;ellipse;0.35;0.5;730.9105188710383;727.8788001817525;1459.0;8089.0;;1500.0
50.0;ellipse;0.35;0.55;733.9140672608787;732.7849518280347;1468.0;7975.0;;1500.0
50.0;ellipse;0.4;0.4;737.2895853398362;736.6821211696766;1474.0;7793.0;;1500.0
50.0;ellipse;0.4;0.45;749.7763368286563;748.072931013876;1494.0;7288.0;;1500.0
50.0;ellipse;0.4;0.5;747.4989636741386;748.2707053956816;1497.0;6972.0;;1500.0
