N;alpha;eps;consensus_x;consensus_y;consensus_probabity;simulation_time;simulation_count
50;0.5;0.15;0;0;0;0;100.0
50;0.5;0.2;0;0;0;0;100.0
50;0.5;0.25;0;0;0;0;100.0
50;0.5;0.3;14.282545330485815;13.684638322752107;31;285;100.0
50;0.5;0.35;35.50408298272848;35.34858492470379;78;538;100.0
50;0.5;0.4;43.56502532165167;44.19112726103162;97;519;100.0
50;0.5;0.45;45.06183848071379;45.16460157100658;100;448;100.0
50;0.5;0.5;45.26444736809643;45.04642102294187;100;401;100.0
50;0.5;0.55;45.34876025162875;45.00125061695768;100;398;100.0
50;0.5;0.6;45.33661184221904;45.01310734692722;100;363;100.0
50;0.5;0.65;46.21923919374637;46.20479401763559;100;306;100.0
50;0.5;0.7;46.46639497136672;45.229739788848626;100;300;100.0
50;0.5;0.75;45.85273666801474;45.97972461675704;100;300;100.0
50;0.5;0.8;45.70331437861268;45.525490472669546;100;300;100.0
50;0.5;0.85;46.08038262917986;45.60019217103056;100;300;100.0
50;0.5;0.9;45.78410255475206;45.538617183788205;100;300;100.0
50;0.5;0.95;46.52578934824561;46.41722040711625;100;300;100.0
50;0.5;1.0;45.59903946826144;45.9340796010034;100;299;100.0
50;1.0;0.15;0;0;0;0;100.0
50;1.0;0.2;0;0;0;0;100.0
50;1.0;0.25;0;0;0;0;100.0
50;1.0;0.3;5.8851942489959495;5.891989792381552;14;116;100.0
50;1.0;0.35;28.405069192412228;28.34649112126363;69;475;100.0
50;1.0;0.4;38.76775802710956;37.58961826481714;94;490;100.0
50;1.0;0.45;39.91897612130856;39.11978701091495;98;435;100.0
50;1.0;0.5;40.154981784273915;39.83826261736911;100;404;100.0
50;1.0;0.55;41.35477877710163;41.227953724816125;100;396;100.0
50;1.0;0.6;41.6055301924531;41.27253433143763;100;354;100.0
50;1.0;0.65;41.59429657554575;40.5546314787155;100;303;100.0
50;1.0;0.7;41.61593659161897;41.14747578969498;100;301;100.0
50;1.0;0.75;41.33727754549939;41.059331451347866;100;300;100.0
50;1.0;0.8;41.38153127161738;40.83379066444899;100;300;100.0
50;1.0;0.85;42.01178638563376;41.562287903168624;100;300;100.0
50;1.0;0.9;42.454934719999486;41.50265102916165;100;300;100.0
50;1.0;0.95;41.79993508088679;41.70555903646491;100;300;100.0
50;1.0;1.0;41.28216742723676;41.6757753066603;100;299;100.0
50;1.5;0.15;0;0;0;0;100.0
50;1.5;0.2;0;0;0;0;100.0
50;1.5;0.25;0;0;0;0;100.0
50;1.5;0.3;6.499301788276868;6.060512131281447;17;141;100.0
50;1.5;0.35;25.23151137115055;25.164396858507732;69;434;100.0
50;1.5;0.4;31.997285918967755;31.829391828806273;87;457;100.0
50;1.5;0.45;34.59719273220451;34.57985272778021;95;424;100.0
50;1.5;0.5;36.07440828843258;35.80986591639563;99;402;100.0
50;1.5;0.55;37.12476210693194;36.92612983015738;100;392;100.0
50;1.5;0.6;37.12196565741532;36.93608836501693;100;348;100.0
50;1.5;0.65;37.2061429954558;36.63971862156648;100;308;100.0
50;1.5;0.7;36.929392442735995;37.0973298870736;100;300;100.0
50;1.5;0.75;37.30782547281976;37.15789860104781;100;300;100.0
50;1.5;0.8;37.15025058303437;37.30119426191565;100;300;100.0
50;1.5;0.85;37.5228509422248;37.20428450537037;100;300;100.0
50;1.5;0.9;37.55519557444427;37.33223752547353;100;300;100.0
50;1.5;0.95;38.0126953059752;37.1316658110521;100;300;100.0
50;1.5;1.0;38.281538943532176;38.14713121294122;100;300;100.0
50;2.0;0.15;0;0;0;0;100.0
50;2.0;0.2;0;0;0;0;100.0
50;2.0;0.25;0;0;0;0;100.0
50;2.0;0.3;4.686332455924938;4.6220495973731275;14;115;100.0
50;2.0;0.35;15.638879662932816;15.133299916883896;48;302;100.0
50;2.0;0.4;29.178516715163084;28.795442413378055;90;479;100.0
50;2.0;0.45;31.912970007402684;32.33919744607609;98;432;100.0
50;2.0;0.5;31.78144532558789;32.06534000748536;99;399;100.0
50;2.0;0.55;33.36430878712078;33.00629742951449;100;390;100.0
50;2.0;0.6;33.317955353146715;33.07738909243077;100;350;100.0
50;2.0;0.65;33.33159228273503;33.676475352075606;100;309;100.0
50;2.0;0.7;34.26379029207488;33.5509148177506;100;300;100.0
50;2.0;0.75;33.70997675077463;33.1264491844157;100;300;100.0
50;2.0;0.8;33.69999350499235;33.47743574540368;100;300;100.0
50;2.0;0.85;33.48001419949375;33.95563571938107;100;300;100.0
50;2.0;0.9;33.63735088562189;33.28218386006916;100;300;100.0
50;2.0;0.95;33.95190724862776;34.17886965952999;100;300;100.0
50;2.0;1.0;34.52247770266216;34.17726134658274;100;299;100.0
50;2.5;0.15;0;0;0;0;100.0
50;2.5;0.2;0;0;0;0;100.0
50;2.5;0.25;0.5721594570362951;0.4928009361144484;2;14;100.0
50;2.5;0.3;5.420273812656186;5.503021834536563;19;141;100.0
50;2.5;0.35;16.053483915209892;16.074560449838778;56;327;100.0
50;2.5;0.4;25.431293500260608;24.663192838054236;86;439;100.0
50;2.5;0.45;27.521229640113106;26.309136117275497;92;409;100.0
